Month,BPM,Steps,Stress Level,Sleep Hrs
6,44,12999.5,31.5,7.633333333333333
7,40,12887.193548387097,23.75,7.824999999999999
8,41,15087.354838709678,25.4,7.44
9,47,12924.966666666667,28.25,7.325
10,48,16599.129032258064,31.2,7.220000000000001
11,48,11002.380952380952,28.0,7.866666666666667
